element_1,element_2,track_name,playlist_genre,playlist_subgenre,track_artist,track_popularity,selected_artist,point_size_selected_artist,track_name_selected_artist,genre_selected_artist
0.6184447641021587,-3.9843097784748385,Feel Good (feat. Daya),pop,dance pop,Gryffin,74,,0.7,NA,NA
-0.20326175708222727,-6.949293595674973,Endless Summer,pop,dance pop,Cashae,56,,0.7,NA,NA
-0.8700142567883691,-8.825723468486851,Faith (with Dolly Parton) [feat. Mr. Probz],pop,dance pop,Galantis,77,,0.7,NA,NA
-0.44778621769308546,-7.196421135416772,Think About You,pop,dance pop,Kygo,71,,0.7,NA,NA
-0.8940170709358009,-7.6424514928566305,Party For One,pop,dance pop,Carly Rae Jepsen,64,,0.7,NA,NA
-0.6365259669710044,8.463109777805158,Ritual,pop,dance pop,Tiësto,82,,0.7,NA,NA
1.2834634633582258,-4.9494236316051214,Electricity (with Dua Lipa),pop,dance pop,Silk City,81,,0.7,NA,NA
0.34925731394044207,5.620930580604315,Lie,pop,dance pop,Shallou,41,,0.7,NA,NA
0.06907567284891442,-8.809322964288722,I Found You (with Calvin Harris),pop,dance pop,benny blanco,62,,0.7,NA,NA
0.7103662184823771,7.6439398793466635,Now That I Found You,pop,dance pop,Carly Rae Jepsen,5,,0.7,NA,NA
-2.4148485903508456,-4.9833815390100344,All Comes Back To You,pop,dance pop,R3HAB,72,,0.7,NA,NA
-1.526054967868067,-7.428911137391679,Need U,pop,dance pop,DVBBS,24,,0.7,NA,NA
-4.581766221257556,-6.225563774663342,First Love,pop,dance pop,Lost Kings,58,,0.7,NA,NA
1.5432792832205715,-5.778628920926549,Something Real,pop,dance pop,Armin van Buuren,65,,0.7,NA,NA
-0.9373499575072866,-7.544871049647887,TIME,pop,dance pop,Alesso,64,,0.7,NA,NA
-2.125284173313636,6.579922436849239,Something About You (with Rudimental),pop,dance pop,Elderbrook,53,,0.7,NA,NA
1.9305151041156186,8.750998360431312,Home (feat. Bonn),pop,dance pop,Martin Garrix,72,,0.7,NA,NA
0.7095065487305562,9.386159661072478,Simple (STVW Remix),pop,dance pop,FANNYPACK,39,,0.7,NA,NA
-1.2127982578807626,9.570042446675282,Sorry,pop,dance pop,Joel Corry,75,,0.7,NA,NA
-1.1943587756394896,9.149685785438846,Spicy (with Diplo & Charli XCX),pop,dance pop,Herve Pagez,60,,0.7,NA,NA
2.8194543899595343,-5.51269005476599,The Upside (feat. Elle King),pop,dance pop,Lindsey Stirling,18,,0.7,NA,NA
-0.35268687517361164,7.400736320185787,Stay,pop,dance pop,Zedd,79,,0.7,NA,NA
1.7072430065884967,-6.752395412185493,Million Voices,pop,dance pop,Armin van Buuren,60,,0.7,NA,NA
-3.2119994396161164,7.7502553187811385,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",pop,dance pop,DJ Snake,83,,0.7,NA,NA
-3.627728252128831,-7.576873581955674,Closer (feat. Halsey),pop,dance pop,The Chainsmokers,85,,0.7,NA,NA
-0.7545815093633157,-7.451722050374584,Say My Name (feat. Zyra) ,pop,dance pop,ODESZA,47,,0.7,NA,NA
1.2277910341285843,-8.659206052731243,Clarity,pop,dance pop,Zedd,74,,0.7,NA,NA
-1.4801723022462143,9.238722237113263,Solo (feat. Demi Lovato),pop,dance pop,Clean Bandit,80,,0.7,NA,NA
1.099913892254409,6.610128439152172,Scared to Be Lonely,pop,dance pop,Martin Garrix,81,,0.7,NA,NA
-1.1274472947464067,-7.9084421936858424,Friends (with BloodPop®),pop,dance pop,Justin Bieber,76,,0.7,NA,NA
-1.5327328354436505,9.462544202574867,RITMO (Bad Boys For Life),pop,dance pop,The Black Eyed Peas,96,,0.7,NA,NA
-0.9168145454287229,-7.8365272541103845,Promises (with Sam Smith),pop,dance pop,Calvin Harris,84,,0.7,NA,NA
-0.9237326030155273,-9.121542137121788,Turn Me On (feat. Vula),pop,dance pop,Riton,86,,0.7,NA,NA
1.2361709405113177,-5.773316151430451,Light,pop,dance pop,San Holo,68,,0.7,NA,NA
1.0848915299345998,6.60839196156393,2U,pop,dance pop,David Guetta,66,,0.7,NA,NA
0.3429646932866915,8.833812950870026,Something Just Like This,pop,dance pop,The Chainsmokers,83,,0.7,NA,NA
-0.9243373476512438,10.0930427377455,One Kiss (with Dua Lipa),pop,dance pop,Calvin Harris,85,,0.7,NA,NA
